Depth,Name,Statistic,#Cells
> > > ,"Specimen_001_204FL_1_023.fcs/live/BFP+/Q3: APC-A+ , FITC-A-",81.7,6732
> > > ,"Specimen_001_204FL_1_023.fcs/live/BFP+/Q4: APC-A- , FITC-A-",0.073,6
,Specimen_001_204FL_2_024.fcs,,275028
> ,Specimen_001_204FL_2_024.fcs/live,59.9,164773
> > ,Specimen_001_204FL_2_024.fcs/live/BFP+,1.49,2447
> > > ,Specimen_001_204FL_2_024.fcs/live/BFP+,7483,
> > > ,Specimen_001_204FL_2_024.fcs/live/BFP+,532,
> > > ,Specimen_001_204FL_2_024.fcs/live/BFP+,11232,
> > > ,Specimen_001_204FL_2_024.fcs/live/BFP+,646,
> > > ,Specimen_001_204FL_2_024.fcs/live/BFP+,8745,
> > > ,Specimen_001_204FL_2_024.fcs/live/BFP+,495,
> > > ,"Specimen_001_204FL_2_024.fcs/live/BFP+/Q1: APC-A- , FITC-A+",0.082,2
> > > ,"Specimen_001_204FL_2_024.fcs/live/BFP+/Q2: APC-A+ , FITC-A+",65.2,1596
> > > ,"Specimen_001_204FL_2_024.fcs/live/BFP+/Q3: APC-A+ , FITC-A-",34.5,845
> > > ,"Specimen_001_204FL_2_024.fcs/live/BFP+/Q4: APC-A- , FITC-A-",0.16,4
,Specimen_001_204FL_3_025.fcs,,183954
> ,Specimen_001_204FL_3_025.fcs/live,62.6,115091
> > ,Specimen_001_204FL_3_025.fcs/live/BFP+,1.39,1595
> > > ,Specimen_001_204FL_3_025.fcs/live/BFP+,6528,
> > > ,Specimen_001_204FL_3_025.fcs/live/BFP+,286,
> > > ,Specimen_001_204FL_3_025.fcs/live/BFP+,10041,
> > > ,Specimen_001_204FL_3_025.fcs/live/BFP+,346,
> > > ,Specimen_001_204FL_3_025.fcs/live/BFP+,7478,
> > > ,Specimen_001_204FL_3_025.fcs/live/BFP+,271,
> > > ,"Specimen_001_204FL_3_025.fcs/live/BFP+/Q1: APC-A- , FITC-A+",0.063,1
> > > ,"Specimen_001_204FL_3_025.fcs/live/BFP+/Q2: APC-A+ , FITC-A+",22.8,364
> > > ,"Specimen_001_204FL_3_025.fcs/live/BFP+/Q3: APC-A+ , FITC-A-",76.5,1220
> > > ,"Specimen_001_204FL_3_025.fcs/live/BFP+/Q4: APC-A- , FITC-A-",0.63,10
,Specimen_001_240-500_1_011.fcs,,283800
> ,Specimen_001_240-500_1_011.fcs/live,60.9,172697
> > ,Specimen_001_240-500_1_011.fcs/live/BFP+,1.52,2622
> > > ,Specimen_001_240-500_1_011.fcs/live/BFP+,11777,
> > > ,Specimen_001_240-500_1_011.fcs/live/BFP+,1256,
> > > ,Specimen_001_240-500_1_011.fcs/live/BFP+,17810,
> > > ,Specimen_001_240-500_1_011.fcs/live/BFP+,1493,
> > > ,Specimen_001_240-500_1_011.fcs/live/BFP+,13914,
> > > ,Specimen_001_240-500_1_011.fcs/live/BFP+,1169,
> > > ,"Specimen_001_240-500_1_011.fcs/live/BFP+/Q1: APC-A- , FITC-A+",0.038,1
> > > ,"Specimen_001_240-500_1_011.fcs/live/BFP+/Q2: APC-A+ , FITC-A+",99.8,2617
> > > ,"Specimen_001_240-500_1_011.fcs/live/BFP+/Q3: APC-A+ , FITC-A-",0.15,4
> > > ,"Specimen_001_240-500_1_011.fcs/live/BFP+/Q4: APC-A- , FITC-A-",0,0
,Specimen_001_240-500_2_012.fcs,,391902
> ,Specimen_001_240-500_2_012.fcs/live,65.6,257079
> > ,Specimen_001_240-500_2_012.fcs/live/BFP+,2.33,5998
> > > ,Specimen_001_240-500_2_012.fcs/live/BFP+,7200,
> > > ,Specimen_001_240-500_2_012.fcs/live/BFP+,471,
> > > ,Specimen_001_240-500_2_012.fcs/live/BFP+,10153,
> > > ,Specimen_001_240-500_2_012.fcs/live/BFP+,545,
> > > ,Specimen_001_240-500_2_012.fcs/live/BFP+,7704,
> > > ,Specimen_001_240-500_2_012.fcs/live/BFP+,446,
> > > ,"Specimen_001_240-500_2_012.fcs/live/BFP+/Q1: APC-A- , FITC-A+",0.033,2
> > > ,"Specimen_001_240-500_2_012.fcs/live/BFP+/Q2: APC-A+ , FITC-A+",58.3,3496
> > > ,"Specimen_001_240-500_2_012.fcs/live/BFP+/Q3: APC-A+ , FITC-A-",41.6,2495
> > > ,"Specimen_001_240-500_2_012.fcs/live/BFP+/Q4: APC-A- , FITC-A-",0.083,5
,Specimen_001_240-500_3_013.fcs,,208378
> ,Specimen_001_240-500_3_013.fcs/live,69.6,145030
> > ,Specimen_001_240-500_3_013.fcs/live/BFP+,2.4,3487
> > > ,Specimen_001_240-500_3_013.fcs/live/BFP+,5492,
> > > ,Specimen_001_240-500_3_013.fcs/live/BFP+,500,
> > > ,Specimen_001_240-500_3_013.fcs/live/BFP+,7760,
> > > ,Specimen_001_240-500_3_013.fcs/live/BFP+,592,
> > > ,Specimen_001_240-500_3_013.fcs/live/BFP+,5790,
> > > ,Specimen_001_240-500_3_013.fcs/live/BFP+,466,
> > > ,"Specimen_001_240-500_3_013.fcs/live/BFP+/Q1: APC-A- , FITC-A+",0.17,6
> > > ,"Specimen_001_240-500_3_013.fcs/live/BFP+/Q2: APC-A+ , FITC-A+",61.8,2156
> > > ,"Specimen_001_240-500_3_013.fcs/live/BFP+/Q3: APC-A+ , FITC-A-",37.8,1317
> > > ,"Specimen_001_240-500_3_013.fcs/live/BFP+/Q4: APC-A- , FITC-A-",0.23,8
,Specimen_001_240-616_1_014.fcs,,247336
> ,Specimen_001_240-616_1_014.fcs/live,64.3,159054
> > ,Specimen_001_240-616_1_014.fcs/live/BFP+,2.92,4637
